var,source,varname,Format,Source_Name,Source_Link,Description,Unit of Measure,Section,Subsection,Subsection2,tcdata360_id
EOSQ133,GCI.data,Availability of scientists and engineers,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,To what extent are scientists and engineers available in your country? [1 = not at all; 7 = widely available],1-7 = best,Human capital,bar1,figure4,607
Ratio of minimum wage to value added per worker,labmarket.data,ratio of the minimum wage to the average value added per worker,Numeric,World Bank _„_ Doing Business Data,http://www.doingbusiness.org/data/exploretopics/labor-market-regulation,Minimum wage divided by the average value added per worker (which is calcualted as the ratio of an economy_„Žs GNI per capita to the working-age population as a percentage of the total population),travel,Human capital,gauge1,,3501
SL.SRV.EMPL.ZS,WB.data,Employment (GDP Production Components: Services),Percentage,World Bank Data,http://data.worldbank.org/,"Employees are people who work for a public or private employer and receive remuneration in wages, salary, commission, tips, piece rates, or pay in kind. Services correspond to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3) and include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services.",% of employed population,Human capital,figure6,pie1,0
SE.TER.ENRR,WB.data,Tertiary education enrollment rate,Percentage,World Bank Data,http://data.worldbank.org/,"Gross tertiary education enrollment rate. The reported value corresponds to the ratio of total tertiary enrollment, regardless of age, to the population of the age group that officially corresponds to the tertiary education level. Tertiary education (ISCED levels 5 and 6), whether or not leading to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.",% of popualtion at tertiarty education level,Human capital,combo4,figure5,565
Percent.of.firms.having.their.own.Web.site,ent_sur.data,Firms with their own Website,Percentage,Enterprise Survey,http://www.enterprisesurveys.org/data/exploretopics/innovation-and-technology,"results are based on surveys of more than 130,000 firms",% of firms,Markets,table1,,271
Percent.of.firms.using.e.mail.to.interact.with.clients.suppliers,ent_sur.data,Firms using email to interact with clients/suppliers (%),Percentage,Enterprise Survey,http://www.enterprisesurveys.org/data/exploretopics/innovation-and-technology,"results are based on surveys of more than 130,000 firms",% of firms,Markets,table1,,272
Account at a financial institution (% age 15+) [ts],findex.data,Account on financial institution,Percentage,World Bank _„_ Findex,http://www.worldbank.org/en/programs/globalfindex,"Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].",% age 15+,Markets,radar1,,3359
Credit card (% age 15+) [ts],findex.data,Credit card,Percentage,World Bank _„_ Findex,http://www.worldbank.org/en/programs/globalfindex,Denotes the percentage of respondents who report having a credit card (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,% age 15+,Markets,radar1,,3360
Debit card (% age 15+) [ts],findex.data,Debit card,Percentage,World Bank _„_ Findex,http://www.worldbank.org/en/programs/globalfindex,Denotes the percentage of respondents who report having a debit card (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,% age 15+,Markets,radar1,,3361
Mobile account (% age 15+) [w2],findex.data,Mobile account,Percentage,World Bank _„_ Findex,http://www.worldbank.org/en/programs/globalfindex,"Denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months (% age 15+). [w2: data are available for wave 2].",% age 15+,Markets,radar1,,3362
Used an account to make a transaction through a mobile phone (% age 15+) [w2],findex.data,Mobile phone transaction,Percentage,World Bank _„_ Findex,http://www.worldbank.org/en/programs/globalfindex,"Denotes the percentage of respondents who report making a transaction with money from their account at a bank or another type of financial institution using a mobile phone in the past 12 months. This can include using a mobile phone to make payments, to make purchases, or to send or receive money (% age 15+). [w2: data are available for wave 2].",% age 15+,Markets,radar1,,3363
Used the Internet to pay bills or buy things (% age 15+) [w2],findex.data,Payments on internet,Percentage,World Bank _„_ Findex,http://www.worldbank.org/en/programs/globalfindex,Denotes the percentage of respondents who report paying bills or making purchases online using the Internet in the past 12 months (% age 15+). [w2: data are available for wave 2].,% age 15+,Markets,radar1,,3364
BBSUBPC,GCI.data,Broadband Internet subscriptions,Numeric,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,"Growth in internet and population, and growth in people with access to the Internet per 100 inhabitants (penetration)",per 100 population,Supports,table1,figure3,591
INTBDWIDUSER,GCI.data,Internet bandwidth,Numeric,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,"Number of fixed broadband Internet subscriptions per 100 population. Total fixed (wired) broadband Internet subscriptions refers to subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kb/s. This can include, for example, cable modem, DSL, fiber-to-the-home/building, and other fixed (wired) broadband subscriptions. This total is measured irrespective of the method of payment. It excludes subscriptions that have access to data communications (including the Internet) via mobile cellular networks.", kb/s/capita,Supports,table1,,593
IT.NET.USER.P2,WB.data,Internet users,Numeric,World Bank Data,http://data.worldbank.org/,People with access to the Internet per 100 inhabitants,per 100 population,Supports,table1,,1749
Bancruptcy (distance from frontier),doingbus_frontier.data,Bankruptcy,0-100,World Bank _„_ Doing Business Data,http://www.doingbusiness.org/data/exploretopics/resolving-insolvency/frontier,identifies weaknesses in existing bankruptcy law and the main procedural and administrative bottlenecks in the insolvency process,"0 to 100, where 0 represents the lowest performance and 100 the frontier",Policy,table2,,3128
Enforcing contracts (distance from frontier),doingbus_frontier.data,Enforcing contracts (distance from frontier),0-100,World Bank _„_ Doing Business Data,http://www.doingbusiness.org/data/exploretopics/enforcing-contracts/frontier,"following the evolution of a commercial sale dispute over the quality of goods and tracking the time, cost and number of procedures involved from the moment the plaintiff files the lawsuit until payment is received","0 to 100, where 0 represents the lowest performance and 100 the frontier",Policy,table2,,474
CORPTAXRATE,GCI.data,Total tax rate,Percentage,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,"This variable is a combination of profit tax (% of profits), labor tax and contribution (% of profits), and other taxes (% of profits). The total tax rate measures the amount of taxes and mandatory contributions payable by the business in the second year of operation, expressed as a share of commercial profits. The total amount of taxes is the sum of five different types of taxes and contributions payable after accounting for deductions and exemptions: profit or corporate income tax, social ontributions and labor taxes paid by the employer, property taxes, turnover taxes, and other small taxes. For more details about the methodology employed and the assumptions made to compute this indicator, please visit",(% profit),Policy,figure4,,437
EOSQ071,GCI.data,Quality of scientific research institutions,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,How would you assess the quality of scientific research institutions in your country? [1 = very poor; 7 = the best in their field internationally],1-7 = best,Policy,,,599
GCI.A.01.01,GCI.data,Quality of Public Institutions,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,the quality of public‘_institutions‘_ used a rough proxy for‘_supportiveness‘_of public‘_institutions‘_toward tech,1-7 = best,Policy,,,725
EOSQ079,GITR.data,Importance of ICTs to government_vision,7-Jan,Global Information Technology Report,http://www3.weforum.org/docs/WEF_NRI_2012-2015_Historical_Dataset.xlsx,To what extent does the government have a clear implementation plan for utilizing ICTs to improve your country_„Žs overall competitiveness? [1 = no plan; 7 = clear plan] | 2012_„_2013 weighted average ,1-7 = best,Policy,bar1,,3449
EOSQ363,GITR.data,Government success in ICT promotion,7-Jan,Global Information Technology Report,http://www3.weforum.org/docs/WEF_NRI_2012-2015_Historical_Dataset.xlsx,"In your country, how successful is the government in promoting the use of information and communication technologies (ICTs)? [1 = not successful at all; 7 = extremely successful] | 2012_„_2013 weighted average ",1-7 = best,Policy,bar1,,3453
GOVONLINESERVIDX,GITR.data,Government online service Index,0-1,Global Information Technology Report,http://www3.weforum.org/docs/WEF_NRI_2012-2015_Historical_Dataset.xlsx,The Government Online Service Index assesses the quality of government_„Žs delivery of online services on a 0-to-1 (best) scale | 2012,0-to-1 (best) ,Policy,table1,,3451
agg,iab_inv.data,"FDI Regulation Index (aggregate across telecoms, media, electricity)",0-100,World Bank _„_ Investing Across Borders Data,http://iab.worldbank.org/Data/ExploreTopics/Investing-across-sectors,measures overt statutory restrictions on foreign ownership of equity in new investment projects (greenfield FDI) and on the acquisition of shares in existing companies (mergers and acquisitions).,0-100 (where 100 = full ownsership allowed),Policy,combo1,,44
Time (days),iab_start.data,Time needed to setup a foreign business,Numeric,World Bank _„_ Investing Across Borders Data,http://iab.worldbank.org/Data/ExploreTopics/Starting-a-foreign-business,"This topic quantifies the procedural burden that foreign companies face when entering a new market. It comprises 3 components measuring the time needed, procedural steps required and regulatory regime for establishing a foreign-owned subsidiary.‘_",number of days,Policy,combo2,,53
Procedures (number),iab_start.data,Procedures to set up a foreign business,Numeric,World Bank _„_ Investing Across Borders Data,http://iab.worldbank.org/Data/ExploreTopics/Starting-a-foreign-business,"This topic quantifies the procedural burden that foreign companies face when entering a new market. It comprises 3 components measuring the time needed, procedural steps required and regulatory regime for establishing a foreign-owned subsidiary.‘_",number of procedures,Policy,combo3,,52
Simple.Average.Applied.MFN.Tariff.on.Electrical.machinery,tariff.data,Simple_Average_Applied_MFN_Tariff_on_Electrical_machinery,Percentage,World Trade Organization - Tariff Trade Profile,http://stat.wto.org/TariffProfiles/TariffProfiles_E.exe,‘_MFN (most-favoured-nation) tariff is normal non-discriminatory tariff charged on imports (excludes preferential tariffs under free trade agreements and other schemes or tariffs charged inside quotas),Tariff charged on imports in %,Policy,table3,,0
Paying Taxes DTF,tax.data,Taxation (distance to frontier),"0 to 100, where 0 represents the lowest performance and 100 the frontier",,,"taxes and mandatory contributions that a medium-size company must pay or withhold in a given year, as well as measures the administrative burden in paying taxes. The most recent round of data collection for the project was completed on June 1, 2014 covering for the Paying Taxes indicator calendar year 2013 (January 1, 2013 _„_ December 31, 2013)","0 to 100, where 0 represents the lowest performance and 100 the frontier",Policy,,,433
transparency,transp.data,Transparency in setting up a new business,3-Jan,World Bank _„_ Doing Business Data,http://www.doingbusiness.org/data/transparency,"The data on the accessibility of regulatory information, collected between January and August 2012, measures how easy it is to access fee schedules for 4 regulatory processes in the largest business city of an economy: registering a new company, obtaining a building permit, connecting a business to electricity and transferring property. Fee schedules are considered easily accessible if they can be obtained either through the website of the relevant agency or through public notices (e.g., brochures or notice boards) available at the agency or a related one, without a need to meet with an official. They are considered not easily accessible if they can be obtained only by meeting with an official.","calculated score, 1-3, best",Policy,line2,,455
GB.XPD.RSDV.GD.ZS,WB.data,Research and development expenditure,Percentage,World Bank Data,http://data.worldbank.org/,"Expenditures for research and development are current and capital expenditures (both public and private) on creative work undertaken systematically to increase knowledge, including knowledge of humanity, culture, and society, and the use of knowledge for new applications. R And D covers basic research, applied research, and experimental development.",% of GDP,Policy,figure3,,2013
IC.BUS.EASE.XQ,WB.data,Ease of doing business index ,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,figure2,415
,WB.data,Dealing with Construction Permits,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,462
,WB.data,Enforcing Contracts,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,474
,WB.data,Getting Credit,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,441
,WB.data,Getting Electricity,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,417
,WB.data,Paying Taxes,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,433
,WB.data,Protecting Minority Investors,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,447
,WB.data,Registering Property,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,468
,WB.data,Resolving Insolvency,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,479
,WB.data,Starting a Business,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,456
,WB.data,Trading Across Borders,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableR,,423
,WB.data,Ease of doing business index ,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,416
,WB.data,Dealing with Construction Permits,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,463
,WB.data,Enforcing Contracts,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,475
,WB.data,Getting Credit,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,442
,WB.data,Getting Electricity,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,418
,WB.data,Paying Taxes,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,434
,WB.data,Protecting Minority Investors,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,448
,WB.data,Registering Property,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,469
,WB.data,Resolving Insolvency,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,480
,WB.data,Starting a Business,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,457
,WB.data,Trading Across Borders,1-181,World Bank Data,http://data.worldbank.org/,"Ease of doing business index ranks economies from 1 to 181, with first place being the best. A high ranking means that the regulatory environment is conducive to business operation. The index ranks the simple average of the country's percentile rankings on 10 topics covered in Doing Business 2007: How to reform. The ranking on each topic is the simple average of the percentile rankings on its component indicators.",1-181 (1=most business-friendly regulations),Policy,dbtableDTF,,424
IC.LGL.CRED.XQ,WB.data,Strength of legal rights Index ,0-10,World Bank Data,http://data.worldbank.org/,"Strength of legal rights index measures the degree to which collateral and bankruptcy laws protect the rights of borrowers and lenders and thus facilitate lending. The index ranges from 0 to 10, with higher scores indicating that these laws are better designed to expand access to credit.",0=weak to 10=strong,Policy,table1,,443
IC.REG.COST.PC.ZS,WB.data,Cost of business start-up procedures ,Percentage,World Bank Data,http://data.worldbank.org/,Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,% of GNI per capita,Policy,figure5,,460
Percent.of.firms.identifying.transportation.as.a.major.constraint,ent_sur.data,% firms identifying transportation as major constraint,Percentage,Enterprise Survey,http://www.enterprisesurveys.org/data/exploretopics/infrastructure,"The results are based on surveys of more than 130,000 firms",% of firms,Supports,table1,,256
