Indicator_Short,Unit_Short,Scale,Source_Name,Source_Link,Indicator_Description,Section,Subsection,Subsection2,tcdata360_id,Source_ID
"Employment in industry, female",% of female employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Employment in industry, female (% of female employment)",WAGE EMPLOYMENT,bar21,,,SL.IND.EMPL.FE.ZS
"Employment in industry, male",% of male employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Employment in industry, male (% of male employment)",WAGE EMPLOYMENT,bar21,,,SL.IND.EMPL.MA.ZS
Share of women in wage employment in the nonagricultural sector,% of total nonagricultural employment,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),WAGE EMPLOYMENT,line22,,,SL.EMP.INSV.FE.ZS
Percent of firms with a female top manager,% of firms,1,SOURCE: ENTERPRISE SURVEYS,http://www.enterprisesurveys.org,Percent of firms with a female top manager,ENTREPRENEURSHIP,,number31,24996,
% of firms with majority female ownership,% of firms,1,SOURCE: ENTERPRISE SURVEYS,http://www.enterprisesurveys.org,% of firms with majority female ownership,ENTREPRENEURSHIP,,number32,240,
% of permanent full-time workers that are female,% of permanent full-time workers,1,SOURCE: ENTERPRISE SURVEYS,http://www.enterprisesurveys.org,% of permanent full-time workers that are female,ENTREPRENEURSHIP,,number33,241,
"Starting a Business, number of procedures, male",number of procedures,1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Starting a Business  Procedure ' Men number,BUSINESS ENVIRONMENT FOR WOMEN,bar41,,24886,
"Starting a Business, number of procedures, female",number of procedures,1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Starting a Business  Procedure ' Women number,BUSINESS ENVIRONMENT FOR WOMEN,bar41,,24887,
"Starting a Business, time in days, male",time in days,1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Starting a Business  Time ' Men days,BUSINESS ENVIRONMENT FOR WOMEN,bar41,,24889,
"Starting a Business, time in days, female",time in days,1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Starting a Business  Time ' Women days,BUSINESS ENVIRONMENT FOR WOMEN,bar41,,24890,
"Starting a Business, cost as % of income per capita, female",% of income per capita,1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Starting a Business  Cost ' Women % of income per capita,BUSINESS ENVIRONMENT FOR WOMEN,bar41,,24884,
"Starting a Business, cost as % of income per capita, male",% of income per capita,1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Starting a Business  Cost ' Men % of income per capita,BUSINESS ENVIRONMENT FOR WOMEN,bar41,,24883,
"Registering Property, Equal access to property rights index (-2 to 0)",index (-2 to 0),1,SOURCE: DOING BUSINESS,http://www.doingbusiness.org/rankings,Registering Property  Equal access to property rights index 2'0,BUSINESS ENVIRONMENT FOR WOMEN,number42,,24860,
Does a woman's testimony carry the same evidentiary weight in court as a man's?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Does a woman's testimony carry the same evidentiary weight in court as a man's?,BUSINESS ENVIRONMENT FOR WOMEN,number42,,115,
Does the law mandate nondiscrimination based on gender in hiring?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Does the law mandate nondiscrimination based on gender in hiring?,BUSINESS ENVIRONMENT FOR WOMEN,number42,,157,
Is there legislation on sexual harassment in employment?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Is there legislation on sexual harassment in employment?,BUSINESS ENVIRONMENT FOR WOMEN,number43,,199,
Does the law mandate equal remuneration for work of equal value?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Does the law mandate equal remuneration for work of equal value?,BUSINESS ENVIRONMENT FOR WOMEN,number43,,156,
Do female and male surviving spouses have equal rights to inherit assets?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Do female and male surviving spouses have equal rights to inherit assets?,BUSINESS ENVIRONMENT FOR WOMEN,number43,,111,
Are childcare payments tax deductible?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Are childcare payments tax deductible?,BUSINESS ENVIRONMENT FOR WOMEN,number44,,122,
Does the government support or provide childcare services?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Does the government support or provide childcare services?,BUSINESS ENVIRONMENT FOR WOMEN,number44,,125,
"Accounts (Bank, Financial, Mobile), female",% population ages 15+,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Accounts (Bank, Financial, Mobile), female (% age 15+)","ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar51,,,WP_time_10.3
"Accounts (Bank, Financial, Mobile), male",% population ages 15+,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Accounts (Bank, Financial, Mobile), male (% age 15+)","ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar51,,,WP_time_10.2
"Mobile account, female",% population ages 15+,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Mobile account, female (% age 15+) [w2]","ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar51,,,WP15163_4.3
"Mobile account, male",% population ages 15+,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Mobile account, male (% age 15+) [w2]","ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar51,,,WP15163_4.2
Do married couples jointly share legal responsibility for financially maintaining the family's expenses?,Yes/No,1,"SOURCE: WOMEN, BUSINESS, AND THE LAW",http://wbl.worldbank.org,Do married couples jointly share legal responsibility for financially maintaining the family's expenses?,"ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",number44,,101,
Women participating in making major household purchase decisions,% of women ages 15-49,1,SOURCE: GENDER STATISTICS,https://data.worldbank.org/data-catalog/gender-statistics,Women participating in making major household purchase decisions (% of women age 15-49),"ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar52.2,,,SG.DMK.PRCH.FN.ZS
"Time spent in domestic work, female",hours,1,SOURCE: GENDER STATISTICS,https://data.worldbank.org/data-catalog/gender-statistics,"Time spent in domestic work, female (hours)","ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar52.1,,,SL.TIM.DWRK.FE
"Time spent in domestic work, male",hours,1,SOURCE: GENDER STATISTICS,https://data.worldbank.org/data-catalog/gender-statistics,"Time spent in domestic work, male (hours)","ASSET OWNERSHIP, CONTROL, AND TIME ALLOCATION",bar52.1,,,SL.TIM.DWRK.MA
Political Empowerment,Index (0-1),1,SOURCE: WEF GGGR,http://reports.weforum.org/global-gender-gap-report-2016/,Global Gender Gap Political Empowerment subindex,SOCIAL AND POLITICAL NORMS,line62,figure2,,temp_gggr_pol_index
"Literacy rate, adult female",% of females ages 15 and above,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Literacy rate, adult female (% of females ages 15 and above)",SOCIAL AND POLITICAL NORMS,bar61,,,SE.ADT.LITR.FE.ZS
"Literacy rate, adult male",% of females ages 15 and above,1,SOURCE: WORLD BANK - WDI,http://data.worldbank.org/data-catalog/world-development-indicators,"Literacy rate, adult male (% of males ages 15 and above)",SOCIAL AND POLITICAL NORMS,bar61,,,SE.ADT.LITR.MA.ZS
"Adult literacy rate, population 15+ years, gender parity index",gender parity index,1,"SOURCE: WEF GGGR, EDSTATS, WORLD BANK - WDI",http://data.worldbank.org/data-catalog/,"Adult literacy rate, population 15+ years, gender parity index (GPI)",SOCIAL AND POLITICAL NORMS,,,,UIS.LR.AG15T99.GPI
"Percentage of population age 15+ with primary schooling, female",% of female population age 15+,1,SOURCE: EDSTATS,https://data.worldbank.org/data-catalog/ed-stats,Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary,SOCIAL AND POLITICAL NORMS,bar61,,,BAR.PRM.CMPT.15UP.FE.ZS
"Percentage of population age 15+ with primary schooling, male",% of population age 15+,1.00E+00,SOURCE: EDSTATS,https://data.worldbank.org/data-catalog/ed-stats,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,SOCIAL AND POLITICAL NORMS,bar61,,,BAR.PRM.CMPT.15UP.ZS
"Percentage of population age 15+ with secondary schooling, female",% of female population age 15+,1,SOURCE: EDSTATS,https://data.worldbank.org/data-catalog/ed-stats,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary,SOCIAL AND POLITICAL NORMS,bar61,,,BAR.SEC.CMPT.15UP.FE.ZS
"Percentage of population age 15+ with secondary schooling, male",% of population age 15+,1,SOURCE: EDSTATS,https://data.worldbank.org/data-catalog/ed-stats,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,SOCIAL AND POLITICAL NORMS,bar61,,,BAR.SEC.CMPT.15UP.ZS
"Percentage of population age 15+ with tertiary schooling, female",% of female population age 15+,1,SOURCE: EDSTATS,https://data.worldbank.org/data-catalog/ed-stats,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,SOCIAL AND POLITICAL NORMS,bar61,,,BAR.TER.CMPT.15UP.FE.ZS
"Percentage of population age 15+ with tertiary schooling, male",% of population age 15+,1,SOURCE: EDSTATS,https://data.worldbank.org/data-catalog/ed-stats,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,SOCIAL AND POLITICAL NORMS,bar61,,,BAR.TER.CMPT.15UP.ZS
"Fertility rate, total",births per woman,1,"SOURCE: WEF GGGR, EDSTATS, WORLD BANK - WDI",http://data.worldbank.org/data-catalog/,"Fertility rate, total (births per woman)",SOCIAL AND POLITICAL NORMS,,number63,,SP.DYN.TFRT.IN
Econ. Participation & Opportunity,Index (0-1),1,SOURCE: WEF GGGR,http://reports.weforum.org/global-gender-gap-report-2016/,GGGR Economic Participation and Opportunity Subindex,,,figure3,,temp_gggr_eco_index
Educational Attainment,Index (0-1),1,SOURCE: WEF GGGR,http://reports.weforum.org/global-gender-gap-report-2016/,GGGR Educational Attainment Subindex,,,figure4,,temp_gggr_edu_index
Health and Survival,Index (0-1),1,SOURCE: WEF GGGR,http://reports.weforum.org/global-gender-gap-report-2016/,GGGR Health and Survival Subindex,,,,,temp_gggr_hea_index
