"id","name","valueType","rank"
3267,"Labour Productivity","50-249","3.001"
455,"Protecting Minority Investors: Extent of corporate transparency ","value","3.001"
3265,"Labour Productivity","10-19","3.001"
2761,"% of firms identifying corruption as the biggest obstacle","value","3.001"
90,"Can a married woman register a business in the same way as a married man?","value","3.001"
435,"Paying Taxes: Payments number per year","value","3.001"
1127,"Trade (% of GDP)","value","3.002"
3276,"Corruption","value","3.002"
443,"Getting Credit: Strength of legal rights","value","3.002"
472,"Registering Property: Cost % of property value","value","3.002"
364,"Control of Corruption","Estimate","3.002"
478,"Enforcing Contracts Quality of judicial processes","value","3.002"
331,"Infrastructure","value","3.002"
40016,"Enforcing contracts (DB17-18 methodology)","dtf","3.002"
2785,"General government net debt","percent_of_gdp","3.002"
474,"Enforcing Contracts","rank","3.002"
272,"% of firms using email to interact with clients/suppliers","value","3.002"
2762,"% of firms identifying courts as the biggest obstacle","value","3.002"
369,"Control of Corruption","upper_bound","3.002"
1021,"Imports of goods and services (annual % growth)","value","3.002"
584,"Capacity for innovation","rank","3.002"
320,"Trade / Percent of firms identifying customs and trade regulations as a major constraint","value","3.002"
275,"Performance / Real annual sales growth %","value","3.002"
1094,"Net trade in goods (BoP, current US$)","value","3.002"
609,"Patent Cooperation Treaty patents applications","value","3.002"
3233,"Gross value added at current basic prices (in millions of national currency)","value","3.002"
1739,"Container port traffic (TEU: 20 foot equivalent units)","value","3.002"
3248,"Gross value added, volume indices, 1995 = 100","value","3.002"
989,"Gross fixed capital formation (% of GDP)","value","3.002"
358,"General government net debt","national_currency","3.002"
3131,"Restrictions on movement of people","value","3.002"
1783,"Poverty gap at $1.90 a day (2011 PPP) (%)","value","3.002"
602,"Company spending on Research & Development","rank","3.002"
778,"Foreign direct investment, net inflows (BoP, current US$)","value","3.002"
376,"Political Stability No Violence","Estimate","3.002"
1909,"Tariff rate, applied, weighted mean, all products (%)","value","3.002"
1961,"Customs and other import duties (% of tax revenue)","value","3.002"
1034,"Industry, value added (% of GDP)","value","3.002"
3439,"Capacity for innovation, 1-7 (best)","value","3.002"
581,"Extent of staff training","value","3.002"
221,"Finance / Proportion of investments financed by banks %","value","3.002"
837,"Life expectancy at birth, male (years)","value","3.002"
760,"Access to electricity (% of population)","value","3.002"
332,"Infrastructure","rank","3.002"
745,"12th pillar Innovation","value","3.002"
379,"Political Stability No Violence","Percentile Rank","3.002"
380,"Political Stability No Violence","lower_bound","3.002"
432,"Trading Across Borders: Cost to import Documentary compliance","value","3.002"
746,"12th pillar Innovation","rank","3.002"
583,"Capacity for innovation","value","3.002"
2342,"Domestic value added embodied in foreign final demand","total","3.002"
601,"Company spending on Research & Development","value","3.002"
368,"Control of Corruption","lower_bound","3.002"
366,"Control of Corruption","standard_error","3.002"
367,"Control of Corruption","Percentile Rank","3.002"
378,"Political Stability No Violence","standard_error","3.002"
54,"Ease of establishing a foreign business index (0-100)","value","3.002"
610,"Patent Cooperation Treaty patents applications","rank","3.002"
381,"Political Stability No Violence","upper_bound","3.002"
582,"Extent of staff training","rank","3.002"
3440,"Capacity for innovation, 1-7 (best)","rank","3.002"
3805,"Manufactured Exports share in total exports","value","3.002"
2795,"Annual growth rates of creative services imports","value","3.002"
3115,"New Business Ownership Rate","value","3.002"
3473,"1st pillar: Political and regulatory environment","value","3.002"
971,"Goods imports (BoP, current US$)","value","3.002"
3474,"1st pillar: Political and regulatory environment","rank","3.002"
3121,"Total early-stage Entrepreneurial Activity for Female Working Age Population","value","3.002"
437,"Paying Taxes: Total tax rate % of profit","value","3.002"
1111,"Service imports (BoP, current US$)","value","3.002"
3263,"Share of Exporters","250+","3.003"
1542,"Foreign direct investment, net outflows (% of GDP)","value","3.003"
3120,"Total early-stage Entrepreneurial Activity for Male Working Age Population","value","3.003"
3250,"High-skilled labour compensation (share in total labour compensation)","value","3.003"
397,"Regulatory Quality","Percentile Rank","3.003"
2552,"Value added in the ICT sector (%)","value","3.003"
363,"Volume of exports (% change)","change","3.003"
3261,"Share of Exporters","10-49","3.003"
355,"General government net lending/borrowing","national_currency","3.003"
3260,"Share of Exporters","0-9","3.003"
220,"Finance / Proportion of investments financed internally %","value","3.003"
733,"5th pillar Higher education and training","value","3.003"
396,"Regulatory Quality","standard_error","3.003"
1912,"Tariff rate, most favored nation, simple mean, all products (%)","value","3.003"
577,"Country capacity to attract talent, 1-7 (best)","value","3.003"
55,"Strength of lease rights index (0-100)","value","3.003"
2779,"General government net lending/borrowing","percent_of_gdp","3.003"
3798,"Manufacturing Value Added per capita","value","3.003"
333,"International shipments","value","3.003"
734,"5th pillar Higher education and training","rank","3.003"
1784,"Poverty gap at $3.10 a day (2011 PPP) (%)","value","3.003"
301,"Regulations and Taxes / Senior management time spent dealing with the requirements of government regulation %","value","3.003"
3476,"2nd pillar: Business and innovation environment","rank","3.003"
1887,"Net barter terms of trade index (2000 = 100)","value","3.003"
984,"Gross fixed capital formation (annual % growth)","value","3.003"
334,"International shipments","rank","3.003"
3249,"Real fixed capital stock, 1995 prices","value","3.003"
398,"Regulatory Quality","lower_bound","3.003"
3475,"2nd pillar: Business and innovation environment","value","3.003"
3781,"Trend in Carbon Intensity Score","value","3.003"
2348,"Domestic value added share of gross exports","total","3.003"
399,"Regulatory Quality","upper_bound","3.003"
352,"Population (WEO)","value","3.003"
394,"Regulatory Quality","Estimate","3.003"
425,"Trading Across Borders: Border compliance","value","3.003"
578,"Country capacity to attract talent, 1-7 (best)","rank","3.003"
441,"Getting Credit","rank","3.003"
1045,"Manufacturing, value added (% of GDP)","value","3.003"
3262,"Share of Exporters","50-249","3.003"
253,"Infrastructure / Percent of firms identifying electricity as a major constraint","value","3.003"
3284,"Crime and Theft","value","3.003"
40013,"Getting credit (DB15-18 methodology) ","dtf","3.003"
484,"Resolving Insolvency: Strength of insolvency framework","value","3.003"
109,"Do married men and married women have equal ownership rights to property?","value","3.003"
2763,"Crime / Percent of firms identifying crime theft and disorder as a major constraint","value","3.003"
421,"Getting Electricity: Cost % of income per capita","value","3.003"
1117,"Services, etc., value added (% of GDP)","value","3.004"
426,"Trading Across Borders: Documentary compliance","value","3.004"
300,"Informality / Percent of firms identifying practices of competitors in the informal sector as a major constraint","value","3.004"
40008,"Getting electricity (DB16-18 methodology)","dtf","3.004"
1517,"Automated teller machines (ATMs) (per 100,000 adults)","value","3.004"
2764,"% of firms identifying customs and trade regulations as the biggest obstacle","value","3.004"
2810,"Foreign Direct Investment: Inward flows","usd_per_capita","3.004"
2816,"Foreign Direct Investment: Inward flows","usd_millions","3.004"
2811,"Foreign Direct Investment: Inward flows","percentage_of_world","3.004"
417,"Getting Electricity","rank","3.004"
3259,"Share of Importers","250+","3.004"
3257,"Share of Importers","10-49","3.004"
576,"Country capacity to retain talent, 1-7 (best)","rank","3.004"
476,"Enforcing Contracts ","value","3.004"
839,"Mobile cellular subscriptions (per 100 people)","value","3.004"
252,"Infrastructure / Days to obtain an electrical connection upon application","value","3.004"
53,"Time (days) to start a foreign business","value","3.004"
3782,"Change of Trend in Carbon Intensity Score","value","3.004"
3295,"Population, total (WDI)","value","3.004"
458,"Procedures to start a business (#)","value","3.004"
1511,"Total reserves in months of imports","value","3.004"
1915,"Tariff rate, most favored nation, weighted mean, all products (%)","value","3.004"
3786,"Competitive Industrial Performance Score","value","3.004"
335,"Logistics competence","value","3.004"
799,"Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","value","3.004"
336,"Logistics competence","rank","3.004"
3791,"Impact of a country on World Manufacturing Value Added","value","3.004"
2815,"Foreign Direct Investment: Inward flows","percentage_of_total_merchandise_trade","3.004"
635,"Effect of taxation on incentives to invest","value","3.004"
2808,"Exports of creative services","percentage_of_total_services_trade","3.004"
374,"Rule of Law","lower_bound","3.004"
375,"Rule of Law","upper_bound","3.004"
991,"Gross fixed capital formation, private sector (% of GDP)","value","3.004"
373,"Rule of Law","Percentile Rank","3.004"
370,"Rule of Law","Estimate","3.004"
636,"Effect of taxation on incentives to invest","rank","3.004"
2783,"General government primary net lending/borrowing","percent_of_gdp","3.004"
575,"Country capacity to retain talent, 1-7 (best)","value","3.004"
2813,"Foreign Direct Investment: Inward flows","percentage_of_gfcf","3.004"
3256,"Share of Importers","0-9","3.004"
3479,"3rd pillar: Infrastructure","value","3.004"
3258,"Share of Importers","50-249","3.004"
3480,"3rd pillar: Infrastructure","rank","3.004"
2809,"Exports of creative services","usd_millions","3.004"
3253,"Hours worked by high-skilled persons engaged (share in total hours)","value","3.004"
2014,"Researchers in R&D (per million people)","value","3.004"
372,"Rule of Law","standard_error","3.004"
2812,"Foreign Direct Investment: Inward flows","percentage_of_gdp","3.004"
2814,"Foreign Direct Investment: Inward flows","percentage_of_total_trade","3.004"
3241,"Total hours worked by employees (millions)","value","3.004"
357,"General government primary net lending/borrowing","national_currency","3.004"
3481,"4th pillar: Affordability","value","3.005"
639,"Effect of taxation on incentives to work, 1-7 (best)","value","3.005"
2709,"Foreign Direct Investment: Inward stock","usd_millions","3.005"
382,"Voice and Accountability","Estimate","3.005"
640,"Effect of taxation on incentives to work, 1-7 (best)","rank","3.005"
566,"Tertiary education enrollment gross %","rank","3.005"
3794,"Medium- and High-Tech Manufacturing Value Added share in total manufacturing value added","value","3.005"
1786,"Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population)","value","3.005"
339,"Timeliness on intl shipments","value","3.005"
2807,"Imports of creative services","percentage_of_total_services_trade","3.005"
384,"Voice and Accountability","standard_error","3.005"
340,"Timeliness on intl shipments","rank","3.005"
385,"Voice and Accountability","Percentile Rank","3.005"
386,"Voice and Accountability","lower_bound","3.005"
3482,"4th pillar: Affordability","rank","3.005"
565,"Tertiary education enrollment gross %","value","3.005"
40019,"Paying taxes (DB17-18 methodology)","dtf","3.005"
2781,"General government structural balance","percent_of_gdp","3.005"
465,"Dealing with Construction Permits","value","3.005"
3783,"Trend in CO2 Emissions per KwH Score","value","3.005"
2765,"% of firms identifying electricity as the biggest obstacle","value","3.005"
3255,"Hours worked by low-skilled persons engaged (share in total hours)","value","3.005"
429,"Trading Across Borders: Time to import Border compliance","value","3.005"
2806,"Imports of creative services","usd_millions","3.005"
433,"Paying Taxes","rank","3.005"
387,"Voice and Accountability","upper_bound","3.005"
3240,"Total hours worked by persons engaged (millions)","value","3.005"
307,"Regulations and Taxes / Percent of firms identifying tax administration as a major constraint","value","3.005"
356,"General government structural balance","national_currency","3.005"
2711,"Foreign Direct Investment: Inward stock","percentage_of_world","3.005"
2712,"Foreign Direct Investment: Inward stock","percentage_of_gdp","3.005"
245,"Infrastructure / Duration of a typical electrical outage hours","value","3.005"
2710,"Foreign Direct Investment: Inward stock","usd_per_capita","3.005"
3108,"Fear of Failure Rate","value","3.005"
40021,"Protecting minority investors (DB15-18 methodology) ","dtf","3.006"
3483,"5th pillar: Skills","value","3.006"
430,"Trading Across Borders: Time to import Documentary compliance","value","3.006"
24638,"Business Tourism Spending","local_currency_nominal","3.006"
419,"Getting Electricity: Procedures","value","3.006"
3254,"Hours worked by medium-skilled persons engaged (share in total hours)","value","3.006"
3285,"Foreign Currency Regulations","value","3.006"
337,"Tracking and tracing of shipments","value","3.006"
2766,"% of firms identifying inadequately educated workforce as the biggest obstacle","value","3.006"
2063,"Employment in industry (% of total employment)","value","3.006"
447,"Protecting Minority Investors","rank","3.006"
338,"Tracking and tracing of shipments","rank","3.006"
306,"Regulations and Taxes / Percent of firms identifying tax rates as a major constraint","value","3.006"
3484,"5th pillar: Skills","rank","3.006"
24637,"Business Tourism Spending","local_currency_real","3.006"
24641,"Business Tourism Spending","usd_real","3.006"
24640,"Business Tourism Spending","usd_nominal","3.006"
2823,"Foreign Direct Investment: Outward flows","percentage_of_total_merchandise_trade","3.006"
24642,"Business Tourism Spending","percentage_growth","3.006"
354,"General government total expenditure","national_currency","3.006"
24639,"Business Tourism Spending","percentage_share","3.006"
2822,"Foreign Direct Investment: Outward flows","percentage_of_total_trade","3.006"
742,"9th pillar Technological readiness","rank","3.006"
2820,"Foreign Direct Investment: Outward flows","percentage_of_gdp","3.006"
3103,"Internal market openness","value","3.006"
2817,"Foreign Direct Investment: Outward flows","usd_millions","3.006"
741,"9th pillar Technological readiness","value","3.006"
2818,"Foreign Direct Investment: Outward flows","usd_per_capita","3.006"
2819,"Foreign Direct Investment: Outward flows","percentage_of_world","3.006"
2821,"Foreign Direct Investment: Outward flows","percentage_of_gfcf","3.006"
2777,"General government total expenditure","percent_of_gdp","3.006"
3232,"Intermediate inputs at current purchasers' prices (in millions of national currency)","value","3.007"
2719,"Foreign Direct Investment: Outward stock","percentage_of_gdp","3.007"
290,"Corruption / Percent of firms identifying the courts system as a major constraint","value","3.007"
24676,"Leisure Tourism Spending","local_currency_nominal","3.007"
24679,"Leisure Tourism Spending","usd_nominal","3.007"
24677,"Leisure Tourism Spending","local_currency_real","3.007"
24680,"Leisure Tourism Spending","usd_real","3.007"
604,"University-industry collaboration in Research & Development","rank","3.007"
1858,"Manufactures exports (% of merchandise exports)","value","3.007"
3114,"Nascent Entrepreneurship Rate","value","3.007"
3799,"MVA per capita index","value","3.007"
2718,"Foreign Direct Investment: Outward stock","percentage_of_world","3.007"
24678,"Leisure Tourism Spending","percentage_share","3.007"
2717,"Foreign Direct Investment: Outward stock","usd_per_capita","3.007"
603,"University-industry collaboration in Research & Development","value","3.007"
2716,"Foreign Direct Investment: Outward stock","usd_millions","3.007"
3802,"Manufactured Exports per capita","value","3.007"
40010,"Registering property (DB17-18 methodology)","dtf","3.007"
24681,"Leisure Tourism Spending","percentage_growth","3.007"
468,"Registering Property","rank","3.007"
2064,"Employment in services (% of total employment)","value","3.007"
3286,"Government Instability/Coups","value","3.007"
3487,"6th pillar: Individual usage","value","3.007"
420,"Getting Electricity","value","3.007"
3488,"6th pillar: Individual usage","rank","3.007"
2767,"% of firms identifying labor regulations as the biggest obstacle","value","3.007"
3490,"7th pillar: Business usage","rank","3.008"
2769,"% of firms identifying practices of the informal sector as the biggest obstacle","value","3.008"
1859,"Manufactures imports (% of merchandise imports)","value","3.008"
40023,"Resolving insolvency (DB15-18 methodology)","dtf","3.008"
3106,"Perceived Capabilities","value","3.008"
3277,"Inadequate Supply of Infrastructure","value","3.008"
479,"Resolving Insolvency","rank","3.008"
3489,"7th pillar: Business usage","value","3.008"
3278,"Inadequately Educated Workforce","value","3.009"
3491,"8th pillar: Government usage","value","3.009"
2770,"% of firms identifying tax administration as the biggest obstacle","value","3.009"
3492,"8th pillar: Government usage","rank","3.009"
3107,"Perceived Opportunities","value","3.009"
456,"Starting a Business","rank","3.009"
3495,"9th pillar: Economic impacts","value","3.010"
24701,"Visitor Exports (Foreign spending)","usd_real","3.010"
24700,"Visitor Exports (Foreign spending)","usd_nominal","3.010"
3104,"Physical and services infrastructure","value","3.010"
24702,"Visitor Exports (Foreign spending)","percentage_growth","3.010"
24697,"Visitor Exports (Foreign spending)","local_currency_nominal","3.010"
24698,"Visitor Exports (Foreign spending)","local_currency_real","3.010"
24699,"Visitor Exports (Foreign spending)","percentage_exports","3.010"
2771,"% of firms identifying tax rates as the biggest obstacle","value","3.010"
3496,"9th pillar: Economic impacts","rank","3.010"
471,"Registering Property","value","3.010"
3279,"Inefficient Government Bureaucracy","value","3.010"
3469,"E-Participation Index, 0-1 (best)","value","3.011"
3287,"Inflation","value","3.011"
3529,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)","rank","3.011"
2772,"% of firms identifying transportation as the biggest obstacle","value","3.011"
3528,"WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)","value","3.011"
481,"Resolving Insolvency","value","3.011"
3470,"E-Participation Index, 0-1 (best)","rank","3.011"
2768,"% of firms identifying political instability as the biggest obstacle","value","3.012"
3280,"Policy Instability","value","3.012"
3526,"WEF Enabling environment subindex, 1-7 (best)","value","3.012"
1742,"Fixed broadband subscriptions (per 100 people)","value","3.012"
3527,"WEF Enabling environment subindex, 1-7 (best)","rank","3.012"
3375,"Intellectual property protection, 1-7 (best)","value","3.013"
3548,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)","value","3.013"
3376,"Intellectual property protection, 1-7 (best)","rank","3.013"
3288,"Poor Public Health","value","3.013"
3549,"WEF Government Prioritization of Travel & Tourism, 1-7 (best)","rank","3.013"
3281,"Poor Work Ethic in Labor Force","value","3.014"
3553,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)","rank","3.014"
3552,"WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)","value","3.014"
3393,"Intensity of local competition, 1-7 (best)","value","3.014"
3394,"Intensity of local competition, 1-7 (best)","rank","3.014"
3554,"WEF Environmental sustainability, 1-7 (best)","value","3.015"
3555,"WEF Environmental sustainability, 1-7 (best)","rank","3.015"
3434,"Mobile broadband subs/100 pop.","rank","3.015"
3433,"Mobile broadband subs/100 pop.","value","3.015"
3289,"Restrictive Labor Regulations","value","3.015"
3403,"Mobile network coverage, % pop.","value","3.016"
3282,"Tax Rates","value","3.016"
3404,"Mobile network coverage, % pop.","rank","3.016"
3534,"WEF Business environment, 1-7 (best)","value","3.016"
3535,"WEF Business environment, 1-7 (best)","rank","3.016"
3283,"Tax Regulations","value","3.017"
3541,"WEF Human resources and labour market, 1-7 (best)","rank","3.017"
3423,"Mobile phone subscriptions/100 pop.","value","3.017"
3540,"WEF Human resources and labour market, 1-7 (best)","value","3.017"
3424,"Mobile phone subscriptions/100 pop.","rank","3.017"
3500,"Networked Readiness Index","rank","3.018"
3547,"WEF Travel and Tourism ICT readiness, 1-7 (best)","rank","3.018"
3546,"WEF Travel and Tourism ICT readiness, 1-7 (best)","value","3.018"
3499,"Networked Readiness Index","value","3.018"
638,"Total tax rate % profits","rank","3.018"
637,"Total tax rate % profits","value","3.018"
24646,"Travel and Tourism direct contribution to GDP","local_currency_nominal","3.019"
24647,"Travel and Tourism direct contribution to GDP","local_currency_real","3.019"
24648,"Travel and Tourism direct contribution to GDP","percentage_gdp","3.019"
3418,"Quality of math & science education, 1-7 (best)","rank","3.019"
24649,"Travel and Tourism direct contribution to GDP","usd_nominal","3.019"
3417,"Quality of math & science education, 1-7 (best)","value","3.019"
24651,"Travel and Tourism direct contribution to GDP","percentage_growth","3.019"
24650,"Travel and Tourism direct contribution to GDP","usd_real","3.019"
24643,"Travel and Tourism direct contribution to employment","jobs","3.020"
24644,"Travel and Tourism direct contribution to employment","percentage_total_employment","3.020"
24645,"Travel and Tourism direct contribution to employment","percentage_growth","3.020"
3395,"Tertiary education gross enrollment rate, %","value","3.020"
3396,"Tertiary education gross enrollment rate, %","rank","3.020"
24790,"Gender equality ","1 low to 6 high","3.050"
261,"Workforce / Number of permanent fulltime workers","value","4.001"
2357,"Domestic services value added share of gross exports","total","4.001"
406,"Adjusted export market share","value","4.001"
227,"Finance / Percent of firms identifying access to finance as a major constraint","value","4.001"
1532,"Consumer price index (2010 = 100)","value","4.001"
909,"Exports as a capacity to import (constant LCU)","value","4.001"
359,"General government gross debt","national_currency","4.001"
1524,"Broad money (% of GDP)","value","4.001"
1561,"Personal transfers, receipts (BoP, current US$)","value","4.001"
217,"Finance / Percent of firms not needing a loan","value","4.001"
2804,"Bilateral trade flows by ICT goods and categories (exports)","usd_millions","4.001"
32,"Gross domestic spending on R&D","total_pc_gdp","4.001"
2011,"Patent applications, nonresidents","value","4.001"
2325,"Goods, Value of Exports, Free on board (FOB), US Dollars","value","4.001"
1271,"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","value","4.001"
523,"Affordability of financial services, 1-7 (best)","value","4.001"
1840,"International tourism, expenditures (% of total imports)","value","4.001"
1260,"Pump price for diesel fuel (US$ per liter)","value","4.001"
524,"Affordability of financial services, 1-7 (best)","rank","4.001"
921,"External balance on goods and services (% of GDP)","value","4.001"
1889,"New businesses registered (number)","value","4.001"
309,"Trade / Days to clear direct exports through customs","value","4.001"
270,"% of firms using technology licensed from foreign companies","value","4.001"
1559,"Personal remittances, paid (current US$)","value","4.001"
1177,"Labor force, total","value","4.001"
3003,"Merchandise: Total trade and share of exports","usd_millions","4.001"
